Compound.Name,Cnum.u,O_C_ratio.u,OSc.u,cstar.u
1221_0832_blob_5,8,0.75,0,1.974860286
1221_0832_blob_953,14,0.285714286,-1,2.103657111
1128_1901_fb_add_blob_642,9,0.444444444,-0.666666667,3.811507538
1216_0703_blob_1131,24.76296667,0.526873119,-1.415371526,0.077727081
1202_1412_blob_642,13,0.153846154,-1.692307692,3.717179333
1129_1334_blob_660,8,0.5,0,4.099812667
1128_1901_fb_add_blob_704,10,0.3,-1,4.300330615
1202_1412_blob_766,14,0.214285714,-1.142857143,2.761722471
1221_0832_blob_100,8,0.5,0.25,4.099812667
1129_1334_blob_1095,13,0.384615385,-0.769230769,1.674757111
1206_0924_blob_56,6,0.666666667,0.5,2.067551
1221_0832_blob_967,7,0.428571429,0,5.321046
1128_1901_blob_639,19,0.210526316,-1.578947368,0.164219913
1128_2052_blob_639,15,0.133333333,-1.333333333,2.869857765
1221_2326_blob_657,15,0.133333333,-1.333333333,2.869857765
1202_0046_blob_817,9,0.444444444,-0.222222222,3.811507538
1221_0832_blob_734,29,0,-2.068965517,-2.52772
1205_0335_blob_856,17,0.117647059,-1.764705882,2.012246
1129_1334_blob_1054,5,1,0.8,3.528446
1221_0832_blob_842,19,0.105263158,-1.789473684,1.147284095
1221_0832_blob_758,12,0.166666667,-1.5,4.135603143
1202_0046_blob_1575,28,0,-2.071428571,-2.04162
1129_1334_blob_662,6,0.833333333,0,3.434436909
1206_0924_blob_75,11,0.363636364,-0.363636364,3.170979333
1221_2326_blob_600,30,0,-1.666666667,-3.01382
1128_1901_blob_854,23,0,-2.086956522,0.38888
1128_1901_blob_825,28,0,-2.071428571,-2.04162
1205_0335_blob_706,9,0.444444444,-0.222222222,3.811507538
1202_1412_blob_1,6,0.833333333,0,3.434436909
1221_2326_blob_817,28,0,-2.071428571,-2.04162
Blob with BlobID = 561,6,0.833333333,0,3.434436909
1221_0832_blob_662,29,0,-2.068965517,-2.52772
1202_0046_blob_951,27,0,-2.074074074,-1.55552
1128_1901_blob_843,24,0,-2.083333333,-0.09722
1129_1334_blob_1125,4,1,-0.5,3.977271
1128_1901_fb_add_blob_633,22,0.090909091,-1.818181818,-0.159920667
1128_1901_fb_add_blob_924,10,0.2,-1.6,4.957612667
1221_0832_blob_656,25,0,-2.08,-0.58332
1128_1901_blob_678,26,0,-2.076923077,-1.06942
1216_0703_blob_780,6,0.833333333,0,3.434436909
1128_1901_fb_add_blob_1,16,0.125,-1.75,2.442123778
1129_1334_blob_820,8,0.375,-0.25,5.000418727
1128_1901_fb_add_blob_586,24,0.083333333,-1.833333333,-1.036146308
1128_1901_fb_add_blob_7,18,0.111111111,-1.777777778,1.580546
1128_1901_fb_add_blob_46,17,0.117647059,-1.764705882,2.012246
1128_1901_fb_add_blob_43,17,0.117647059,-1.764705882,2.012246
1128_1901_fb_add_blob_607,18,0.055555556,-2,1.908146
Blob with BlobID = 584,9,0.444444444,-0.888888889,3.811507538
1128_1901_fb_add_blob_619,12,0.083333333,-1.25,2.417055615
1128_1901_fb_add_blob_591,16,0.0625,-2,2.794698941
1206_0924_blob_680,11.512,0.29117092,-0.381052325,2.903264603
1213_2145_blob_1254,11.0934,0.182081515,-1.672714507,3.704880867
1128_1901_blob_819,20,0,-1.6,1.84718
1202_0046_blob_1815,28,0,-2.071428571,-2.04162
1202_1412_blob_987,14,0.214285714,-1,2.761722471
1128_1901_blob_1098,11,0.181818182,-1.090909091,4.549461385
1205_0335_blob_865,12,0,-0.833333333,2.220071
1128_2052_blob_961,16,0.125,-1.625,2.442123778
1128_1901_blob_609,18,0.111111111,-1.666666667,1.580546
1129_1334_blob_1173,5,1,0,3.528446
1221_0832_blob_1014,0,-999,-999,-999
1216_0703_blob_579,16,0.1875,-1,1.952346
